Date,Away,Away_Goals,Home,Home_Goals,MOV,Away_B2B,Home_B2B,Away_ELO,Home_ELO
2021-01-13,St. Louis Blues,4,Colorado Avalanche,1,3,0,0,1500,1500
2021-01-13,Vancouver Canucks,5,Edmonton Oilers,3,2,0,0,1500,1500
2021-01-13,Pittsburgh Penguins,3,Philadelphia Flyers,6,3,0,0,1500,1500
2021-01-13,Chicago Blackhawks,1,Tampa Bay Lightning,5,4,0,0,1500,1500
2021-01-13,Montreal Canadiens,4,Toronto Maple Leafs,5,1,0,0,1500,1500
2021-01-14,San Jose Sharks,4,Arizona Coyotes,3,1,0,0,1500,1500
2021-01-14,Washington Capitals,6,Buffalo Sabres,4,2,0,0,1500,1500
2021-01-14,Carolina Hurricanes,3,Detroit Red Wings,0,3,0,0,1500,1500
2021-01-14,Vancouver Canucks,2,Edmonton Oilers,5,3,1,1,1500,1500
2021-01-14,Minnesota Wild,4,Los Angeles Kings,3,1,0,0,1500,1500
2021-01-14,Boston Bruins,3,New Jersey Devils,2,1,0,0,1500,1500
2021-01-14,Columbus Blue Jackets,1,Nashville Predators,3,2,0,0,1500,1500
2021-01-14,New York Islanders,4,New York Rangers,0,4,0,0,1500,1500
2021-01-14,Anaheim Ducks,2,Vegas Golden Knights,5,3,0,0,1500,1500
2021-01-14,Calgary Flames,3,Winnipeg Jets,4,1,0,0,1500,1500
2021-01-15,Washington Capitals,2,Buffalo Sabres,1,1,1,1,1500,1500
2021-01-15,St. Louis Blues,0,Colorado Avalanche,8,8,0,0,1500,1500
2021-01-15,Toronto Maple Leafs,3,Ottawa Senators,5,2,0,0,1500,1500
2021-01-15,Pittsburgh Penguins,2,Philadelphia Flyers,5,3,0,0,1500,1500
2021-01-15,Chicago Blackhawks,2,Tampa Bay Lightning,5,3,0,0,1500,1500
2021-01-16,San Jose Sharks,3,Arizona Coyotes,5,2,0,0,1500,1500
2021-01-16,Vancouver Canucks,0,Calgary Flames,3,3,0,0,1500,1500
2021-01-16,Carolina Hurricanes,2,Detroit Red Wings,4,2,0,0,1500,1500
2021-01-16,Montreal Canadiens,5,Edmonton Oilers,1,4,0,0,1500,1500
2021-01-16,Minnesota Wild,4,Los Angeles Kings,3,1,0,0,1500,1500
2021-01-16,Boston Bruins,1,New Jersey Devils,2,1,0,0,1500,1500
2021-01-16,Columbus Blue Jackets,2,Nashville Predators,5,3,0,0,1500,1500
2021-01-16,New York Islanders,0,New York Rangers,5,5,0,0,1500,1500
2021-01-16,Toronto Maple Leafs,3,Ottawa Senators,2,1,1,1,1500,1500
2021-01-16,Anaheim Ducks,1,Vegas Golden Knights,2,1,0,0,1500,1500
2021-01-17,Chicago Blackhawks,2,Florida Panthers,5,3,0,0,1500,1500
2021-01-17,Washington Capitals,3,Pittsburgh Penguins,4,1,0,0,1500,1500
2021-01-18,Minnesota Wild,0,Anaheim Ducks,1,1,0,0,1500,1500
2021-01-18,Vancouver Canucks,2,Calgary Flames,5,3,0,0,1500,1500
2021-01-18,Columbus Blue Jackets,3,Detroit Red Wings,2,1,0,0,1500,1500
2021-01-18,Montreal Canadiens,3,Edmonton Oilers,1,2,0,0,1500,1500
2021-01-18,Carolina Hurricanes,4,Nashville Predators,2,2,0,0,1500,1500
2021-01-18,Boston Bruins,0,New York Islanders,1,1,0,0,1500,1500
2021-01-18,Buffalo Sabres,6,Philadelphia Flyers,1,5,0,0,1500,1500
